Quantity,Price,Month,DayOfWeek,IsWeekend,Product_Headphones,Product_Laptop,Product_Monitor,Product_Phone,Product_Tablet,Region_East,Region_North,Region_South,Region_West
7,37300,1,0,0,0,0,0,1,0,1,0,0,0
4,15406,1,1,0,1,0,0,0,0,0,1,0,0
2,21746,1,2,0,0,0,0,1,0,0,0,0,1
1,30895,1,3,0,1,0,0,0,0,1,0,0,0
8,39835,1,4,0,0,1,0,0,0,0,1,0,0
7,40420,1,5,1,0,1,0,0,0,0,0,1,0
9,40430,1,6,1,0,1,0,0,0,0,0,1,0
7,7262,1,0,0,0,1,0,0,0,0,0,0,1
3,32791,1,1,0,0,0,0,0,1,0,1,0,0
4,45023,1,2,0,0,1,0,0,0,0,0,0,1
8,6160,1,3,0,0,0,1,0,0,0,0,0,1
2,13233,1,4,0,0,0,0,1,0,0,0,0,1
8,20655,1,5,1,0,0,0,1,0,1,0,0,0
4,4195,1,6,1,1,0,0,0,0,1,0,0,0
2,34447,1,0,0,1,0,0,0,0,0,0,0,1
9,41548,1,1,0,0,0,0,1,0,0,0,1,0
5,13488,1,2,0,0,0,0,1,0,0,0,1,0
4,19322,1,3,0,0,0,0,0,1,0,1,0,0
1,44045,1,4,0,0,0,0,0,1,0,0,0,1
8,41749,1,5,1,0,1,0,0,0,0,1,0,0
3,36518,1,6,1,0,1,0,0,0,1,0,0,0
2,6713,1,0,0,0,0,0,0,1,0,0,0,1
9,29275,1,1,0,0,1,0,0,0,0,1,0,0
1,17838,1,2,0,1,0,0,0,0,0,0,0,1
2,9191,1,3,0,0,0,1,0,0,0,0,0,1
3,25948,1,4,0,0,1,0,0,0,0,1,0,0
1,38298,1,5,1,0,0,0,0,1,0,1,0,0
7,43495,1,6,1,0,0,0,0,1,0,1,0,0
1,45467,1,0,0,1,0,0,0,0,0,1,0,0
9,11902,1,1,0,0,0,0,0,1,0,1,0,0
6,34900,1,2,0,0,0,0,0,1,1,0,0,0
4,16997,2,3,0,0,0,0,1,0,0,0,1,0
3,20696,2,4,0,0,0,0,0,1,0,0,1,0
2,48602,2,5,1,0,0,0,0,1,1,0,0,0
6,4339,2,6,1,0,0,0,0,1,0,0,1,0
4,45515,2,0,0,0,0,0,0,1,1,0,0,0
5,40177,2,1,0,0,0,0,1,0,0,1,0,0
8,19256,2,2,0,0,0,1,0,0,1,0,0,0
1,39924,2,3,0,0,0,1,0,0,0,0,1,0
4,11494,2,4,0,0,0,0,1,0,0,0,1,0
1,20083,2,5,1,0,0,1,0,0,0,0,0,1
1,18616,2,6,1,0,0,0,1,0,0,0,0,1
6,43350,2,0,0,0,0,0,0,1,0,0,0,1
4,43428,2,1,0,0,0,1,0,0,0,0,0,1
2,40244,2,2,0,0,0,0,1,0,1,0,0,0
2,11032,2,3,0,0,0,0,0,1,0,0,0,1
6,29499,2,4,0,0,0,0,1,0,0,1,0,0
1,6720,2,5,1,0,0,1,0,0,0,0,0,1
1,32297,2,6,1,0,1,0,0,0,0,0,1,0
4,43848,2,0,0,0,1,0,0,0,0,0,0,1
9,15160,2,1,0,0,0,0,1,0,0,0,0,1
1,32524,2,2,0,1,0,0,0,0,0,0,0,1
6,24160,2,3,0,0,0,1,0,0,0,1,0,0
5,1308,2,4,0,0,0,0,0,1,0,1,0,0
7,4341,2,5,1,0,0,0,0,1,0,0,1,0
3,37135,2,6,1,0,0,0,1,0,0,1,0,0
6,37055,2,0,0,0,0,1,0,0,1,0,0,0
2,5272,2,1,0,0,0,1,0,0,1,0,0,0
5,15475,2,2,0,0,1,0,0,0,0,0,1,0
3,13624,2,3,0,1,0,0,0,0,0,0,1,0
5,29840,3,4,0,0,0,0,0,1,0,1,0,0
8,19661,3,5,1,0,1,0,0,0,0,0,1,0
9,24224,3,6,1,0,0,1,0,0,1,0,0,0
5,17924,3,0,0,0,1,0,0,0,0,0,0,1
7,44652,3,1,0,0,0,0,1,0,0,0,1,0
8,14381,3,2,0,0,1,0,0,0,0,1,0,0
2,44487,3,3,0,1,0,0,0,0,1,0,0,0
3,34303,3,4,0,0,1,0,0,0,0,1,0,0
3,23229,3,5,1,0,0,0,0,1,0,1,0,0
9,35418,3,6,1,0,1,0,0,0,0,0,1,0
4,34843,3,0,0,0,0,0,1,0,0,0,0,1
8,18964,3,1,0,1,0,0,0,0,1,0,0,0
7,49930,3,2,0,1,0,0,0,0,0,0,0,1
4,17512,3,3,0,0,0,0,0,1,0,0,1,0
6,23381,3,4,0,0,0,1,0,0,0,1,0,0
5,16596,3,5,1,0,0,0,1,0,0,0,1,0
7,2603,3,6,1,0,1,0,0,0,0,0,1,0
9,26110,3,0,0,0,0,0,0,1,1,0,0,0
9,19425,3,1,0,0,0,0,0,1,0,1,0,0
4,49101,3,2,0,0,0,0,1,0,0,0,1,0
4,28098,3,3,0,0,1,0,0,0,1,0,0,0
2,48769,3,4,0,1,0,0,0,0,0,0,1,0
8,43861,3,5,1,0,1,0,0,0,0,1,0,0
8,40518,3,6,1,0,0,0,1,0,0,0,1,0
3,7455,3,0,0,0,1,0,0,0,0,0,1,0
7,11591,3,1,0,0,0,1,0,0,0,1,0,0
4,3839,3,2,0,0,0,0,0,1,0,0,0,1
6,4578,3,3,0,0,0,0,1,0,0,0,0,1
6,38037,3,4,0,0,1,0,0,0,0,1,0,0
4,9483,3,5,1,0,0,1,0,0,1,0,0,0
1,7148,3,6,1,0,1,0,0,0,0,1,0,0
5,30531,4,0,0,0,0,0,0,1,0,0,1,0
6,42813,4,1,0,1,0,0,0,0,0,0,1,0
6,16667,4,2,0,0,1,0,0,0,0,0,1,0
7,19507,4,3,0,0,0,0,0,1,0,0,0,1
8,20770,4,4,0,0,0,0,0,1,0,1,0,0
1,7647,4,5,1,1,0,0,0,0,0,0,0,1
5,27196,4,6,1,0,0,0,0,1,1,0,0,0
1,30717,4,0,0,0,0,1,0,0,0,1,0,0
5,23376,4,1,0,1,0,0,0,0,0,0,1,0
